split,class,relative_path,path,hash
train,Autosome,Autosome/1--30000X--0006_Autosome_1.tif,/Users/jason/Desktop/OrganelleClassifyDataset/train/Autosome/1--30000X--0006_Autosome_1.tif,eb7af448c22b8b2c
train,Autosome,Autosome/1--30000X--0006_Autosome_2.tif,/Users/jason/Desktop/OrganelleClassifyDataset/train/Autosome/1--30000X--0006_Autosome_2.tif,af38f093c0cccb36
train,Autosome,Autosome/1--30000X--0006_Autosome_3.tif,/Users/jason/Desktop/OrganelleClassifyDataset/train/Autosome/1--30000X--0006_Autosome_3.tif,a41995ce9a3e4b27
train,Autosome,Autosome/1--30000X--0006_Autosome_4.tif,/Users/jason/Desktop/OrganelleClassifyDataset/train/Autosome/1--30000X--0006_Autosome_4.tif,f4e880c7d765aaa4
train,Autosome,Autosome/1--30000X--0006_Autosome_5.tif,/Users/jason/Desktop/OrganelleClassifyDataset/train/Autosome/1--30000X--0006_Autosome_5.tif,ef50b48d9e3c9990
train,Autosome,Autosome/1--30000X--0006_Autosome_7.tif,/Users/jason/Desktop/OrganelleClassifyDataset/train/Autosome/1--30000X--0006_Autosome_7.tif,f2c481d297689a77
train,Autosome,Autosome/1--30000X--0006_Autosome_8.tif,/Users/jason/Desktop/OrganelleClassifyDataset/train/Autosome/1--30000X--0006_Autosome_8.tif,f9a4953dda3201e3
train,Autosome,Autosome/1--30000X--0007_Autosome_1.tif,/Users/jason/Desktop/OrganelleClassifyDataset/train/Autosome/1--30000X--0007_Autosome_1.tif,be16c3d0cc8726ab
train,Autosome,Autosome/1--30000X--0007_Autosome_3.tif,/Users/jason/Desktop/OrganelleClassifyDataset/train/Autosome/1--30000X--0007_Autosome_3.tif,a1cb8fb498da41d6
train,Autosome,Autosome/1--30000X--0008_Autosome_1.tif,/Users/jason/Desktop/OrganelleClassifyDataset/train/Autosome/1--30000X--0008_Autosome_1.tif,bda9d0ebcfc98201
train,Autosome,Autosome/1--30000X--0008_Autosome_2.tif,/Users/jason/Desktop/OrganelleClassifyDataset/train/Autosome/1--30000X--0008_Autosome_2.tif,e29897cb8e6c8e64
train,Autosome,Autosome/1--30000X--0010_Autosome_1.tif,/Users/jason/Desktop/OrganelleClassifyDataset/train/Autosome/1--30000X--0010_Autosome_1.tif,ae6485ca7e8d7870
train,Autosome,Autosome/1--30000X--0010_Autosome_4.tif,/Users/jason/Desktop/OrganelleClassifyDataset/train/Autosome/1--30000X--0010_Autosome_4.tif,b1659632cb929d99
train,Autosome,Autosome/1--30000X--0010_Autosome_5.tif,/Users/jason/Desktop/OrganelleClassifyDataset/train/Autosome/1--30000X--0010_Autosome_5.tif,e77091864778eb4a
train,Autosome,Autosome/1-1shiyan--23000X--0016_Autosome_1.tif,/Users/jason/Desktop/OrganelleClassifyDataset/train/Autosome/1-1shiyan--23000X--0016_Autosome_1.tif,ec36c2c93467ca6c
train,Autosome,Autosome/1-1shiyan--23000X--0016_Autosome_2.tif,/Users/jason/Desktop/OrganelleClassifyDataset/train/Autosome/1-1shiyan--23000X--0016_Autosome_2.tif,f7eac02d0e9236e8
train,Autosome,Autosome/1-1shiyan--6800X--0002_Autosome_1.tif,/Users/jason/Desktop/OrganelleClassifyDataset/train/Autosome/1-1shiyan--6800X--0002_Autosome_1.tif,f981c4d59ab56171
train,Autosome,Autosome/1-2-hsfnc_lJ--23000X--0018_Autosome_1.tif,/Users/jason/Desktop/OrganelleClassifyDataset/train/Autosome/1-2-hsfnc_lJ--23000X--0018_Autosome_1.tif,a0bb813e4b767c62
train,Autosome,Autosome/1-2-hsfnc_lJ--23000X--0019_Autosome_1.tif,/Users/jason/Desktop/OrganelleClassifyDataset/train/Autosome/1-2-hsfnc_lJ--23000X--0019_Autosome_1.tif,e8d3818f82eacd78
train,Autosome,Autosome/1-2-hsfnc_lJ--6800X--0004_Autosome_1.tif,/Users/jason/Desktop/OrganelleClassifyDataset/train/Autosome/1-2-hsfnc_lJ--6800X--0004_Autosome_1.tif,fd9807c3988e7436
train,Autosome,Autosome/1-3-hkf--23000X--0015_Autosome_1.tif,/Users/jason/Desktop/OrganelleClassifyDataset/train/Autosome/1-3-hkf--23000X--0015_Autosome_1.tif,ad7cd2638bcd9c02
train,Autosome,Autosome/1-3-hkf--23000X--0015_Autosome_2.tif,/Users/jason/Desktop/OrganelleClassifyDataset/train/Autosome/1-3-hkf--23000X--0015_Autosome_2.tif,b81dd6f26d44225d
train,Autosome,Autosome/1-3-hkf--23000X--0016_Autosome_1.tif,/Users/jason/Desktop/OrganelleClassifyDataset/train/Autosome/1-3-hkf--23000X--0016_Autosome_1.tif,beb5d5008e07d98d
train,Autosome,Autosome/1-3-hkf--23000X--0016_Autosome_2.tif,/Users/jason/Desktop/OrganelleClassifyDataset/train/Autosome/1-3-hkf--23000X--0016_Autosome_2.tif,ae4ba4ea84ec18d7
train,Autosome,Autosome/1-3-hkf--23000X--0016_Autosome_3.tif,/Users/jason/Desktop/OrganelleClassifyDataset/train/Autosome/1-3-hkf--23000X--0016_Autosome_3.tif,b532918b87ce8d2d
train,Autosome,Autosome/1-3-hkf--23000X--0017_Autosome_1.tif,/Users/jason/Desktop/OrganelleClassifyDataset/train/Autosome/1-3-hkf--23000X--0017_Autosome_1.tif,b72dc7c549ab21a8
train,Autosome,Autosome/1-3-hkf--23000X--0018_Autosome_1.tif,/Users/jason/Desktop/OrganelleClassifyDataset/train/Autosome/1-3-hkf--23000X--0018_Autosome_1.tif,eadcc148cb690f69
train,Autosome,Autosome/1-3-hkf--23000X--0018_Autosome_2.tif,/Users/jason/Desktop/OrganelleClassifyDataset/train/Autosome/1-3-hkf--23000X--0018_Autosome_2.tif,bfddd6c0c2d2c809
