train_class,test_class,train_relative_path,test_relative_path,train_path,test_path,train_hash,test_hash,distance,same_class,nearest_tie_count
Chloroplast,Chloroplast,Chloroplast/1.1_008_Chloroplast_6.tif,Chloroplast/1.1_009_Chloroplast_2.tif,/Users/jason/Desktop/OrganelleClassifyDataset/train/Chloroplast/1.1_008_Chloroplast_6.tif,/Users/jason/Desktop/OrganelleClassifyDataset/test/Chloroplast/1.1_009_Chloroplast_2.tif,f346c41d9b34652d,fb42c41d9b34652d,2,True,1
Nucleus,Nucleus,Nucleus/kw10-6--13000X--0122_Nucleus_1.tif,Nucleus/kw10-6--6800X--0006_Nucleus_1.tif,/Users/jason/Desktop/OrganelleClassifyDataset/train/Nucleus/kw10-6--13000X--0122_Nucleus_1.tif,/Users/jason/Desktop/OrganelleClassifyDataset/test/Nucleus/kw10-6--6800X--0006_Nucleus_1.tif,81c22eb53d12d97b,81622eb53d12d97b,2,True,1
Chloroplast,Chloroplast,Chloroplast/LNWT_006_Chloroplast_2.tif,Chloroplast/309n_002_Chloroplast_1.tif,/Users/jason/Desktop/OrganelleClassifyDataset/train/Chloroplast/LNWT_006_Chloroplast_2.tif,/Users/jason/Desktop/OrganelleClassifyDataset/test/Chloroplast/309n_002_Chloroplast_1.tif,af42b6ce9823ce38,ae40b5ae9a23cf0e,12,True,1
Chloroplast,Chloroplast,Chloroplast/cjy-2_002_Chloroplast_3.tif,Chloroplast/cjy-2_012_Chloroplast_4.tif,/Users/jason/Desktop/OrganelleClassifyDataset/train/Chloroplast/cjy-2_002_Chloroplast_3.tif,/Users/jason/Desktop/OrganelleClassifyDataset/test/Chloroplast/cjy-2_012_Chloroplast_4.tif,f1c78fb8b122ae48,f5c78e38a3278629,12,True,1
Chloroplast,Chloroplast,Chloroplast/LNNA_006_Chloroplast_16.tif,Chloroplast/m-2_004_Chloroplast_5.tif,/Users/jason/Desktop/OrganelleClassifyDataset/train/Chloroplast/LNNA_006_Chloroplast_16.tif,/Users/jason/Desktop/OrganelleClassifyDataset/test/Chloroplast/m-2_004_Chloroplast_5.tif,eb1585f09aea89cc,a8b597d0dacac9c8,12,True,1
Golgi,Golgi,Golgi/70-WT--18500X--0081_Golgi_1.tif,Golgi/70-WT--18500X--0082_Golgi_1.tif,/Users/jason/Desktop/OrganelleClassifyDataset/train/Golgi/70-WT--18500X--0081_Golgi_1.tif,/Users/jason/Desktop/OrganelleClassifyDataset/test/Golgi/70-WT--18500X--0082_Golgi_1.tif,ef0fc1582bcfc064,ff15c25a2b8fc1a0,12,True,1
Golgi,Golgi,Golgi/48--9300X--0005_Golgi_1.tif,Golgi/D3--23000X--0016_Golgi_1.tif,/Users/jason/Desktop/OrganelleClassifyDataset/train/Golgi/48--9300X--0005_Golgi_1.tif,/Users/jason/Desktop/OrganelleClassifyDataset/test/Golgi/D3--23000X--0016_Golgi_1.tif,f0a7d699892c6393,f8a69799cc24a395,12,True,1
Mito,Nucleus,Mito/WT2--23000X--0009_Mito_2.tif,Nucleus/RKO-WT-3--6800X--0005_Nucleus_1.tif,/Users/jason/Desktop/OrganelleClassifyDataset/train/Mito/WT2--23000X--0009_Mito_2.tif,/Users/jason/Desktop/OrganelleClassifyDataset/test/Nucleus/RKO-WT-3--6800X--0005_Nucleus_1.tif,fffbfefc10800009,fffffdf282080001,12,False,1
Nucleus,Nucleus,Nucleus/kw10-4--6800X--0021_Nucleus_1.tif,Nucleus/kw10-4--6800X--0027_Nucleus_1.tif,/Users/jason/Desktop/OrganelleClassifyDataset/train/Nucleus/kw10-4--6800X--0021_Nucleus_1.tif,/Users/jason/Desktop/OrganelleClassifyDataset/test/Nucleus/kw10-4--6800X--0027_Nucleus_1.tif,9bc53a972b319d30,9ac52b16ae33cd31,12,True,1
Vesicles,Autosome,Vesicles/#56--23000X--0081_Vesicles_1.tif,Autosome/1--30000X--0009_Autosome_1.tif,/Users/jason/Desktop/OrganelleClassifyDataset/train/Vesicles/#56--23000X--0081_Vesicles_1.tif,/Users/jason/Desktop/OrganelleClassifyDataset/test/Autosome/1--30000X--0009_Autosome_1.tif,c3c674e1c2d6cc99,e3867c3983c4ced1,14,False,1
Chloroplast,Autosome,Chloroplast/4gill_014_Chloroplast_1.tif,Autosome/10-N--23000X--0059_Autosome_3.tif,/Users/jason/Desktop/OrganelleClassifyDataset/train/Chloroplast/4gill_014_Chloroplast_1.tif,/Users/jason/Desktop/OrganelleClassifyDataset/test/Autosome/10-N--23000X--0059_Autosome_3.tif,b86ac39eac19f330,b06e81962cd373b9,14,False,1
Chloroplast,Autosome,Chloroplast/2gill_009_Chloroplast_2.tif,Autosome/10-SI--23000X--0019_Autosome_1.tif,/Users/jason/Desktop/OrganelleClassifyDataset/train/Chloroplast/2gill_009_Chloroplast_2.tif,/Users/jason/Desktop/OrganelleClassifyDataset/test/Autosome/10-SI--23000X--0019_Autosome_1.tif,fb408daf9a35d032,fac0c79b9a2d1436,14,False,1
Chloroplast,Autosome,Chloroplast/zb1_025_Chloroplast_1.tif,Autosome/LC1-3--23000X--0012_Autosome_1.tif,/Users/jason/Desktop/OrganelleClassifyDataset/train/Chloroplast/zb1_025_Chloroplast_1.tif,/Users/jason/Desktop/OrganelleClassifyDataset/test/Autosome/LC1-3--23000X--0012_Autosome_1.tif,fa35c6f090c29bcc,fa2d84d1d246998f,14,False,1
Mito,Autosome,Mito/WT+LA--30000X--0022_Mito_1.tif,Autosome/ZYZ--49000X--0002_Autosome_4.tif,/Users/jason/Desktop/OrganelleClassifyDataset/train/Mito/WT+LA--30000X--0022_Mito_1.tif,/Users/jason/Desktop/OrganelleClassifyDataset/test/Autosome/ZYZ--49000X--0002_Autosome_4.tif,b808946bd3accead,a040d06bdb3c4dfd,14,False,1
Golgi,CellWall,Golgi/52-WT--18500X--0134_Golgi_1.tif,CellWall/4gill_010_Cell_Wall_1.tif,/Users/jason/Desktop/OrganelleClassifyDataset/train/Golgi/52-WT--18500X--0134_Golgi_1.tif,/Users/jason/Desktop/OrganelleClassifyDataset/test/CellWall/4gill_010_Cell_Wall_1.tif,ad0296e9cce0a7f1,ad17164989e4e2f3,14,False,1
Vesicles,CellWall,Vesicles/LA+1170--30000X--0009_Vesicles_1.tif,CellWall/mkb4_013_Cell_Wall_1.tif,/Users/jason/Desktop/OrganelleClassifyDataset/train/Vesicles/LA+1170--30000X--0009_Vesicles_1.tif,/Users/jason/Desktop/OrganelleClassifyDataset/test/CellWall/mkb4_013_Cell_Wall_1.tif,ca3f35d9c21ecb04,ab2ba5dbc6564344,14,False,1
Autosome,Chloroplast,Autosome/1--30000X--0008_Autosome_1.tif,Chloroplast/2.1_002_Chloroplast_2.tif,/Users/jason/Desktop/OrganelleClassifyDataset/train/Autosome/1--30000X--0008_Autosome_1.tif,/Users/jason/Desktop/OrganelleClassifyDataset/test/Chloroplast/2.1_002_Chloroplast_2.tif,bda9d0ebcfc98201,bf89d06ac3618667,14,False,2
Chloroplast,Chloroplast,Chloroplast/M8-1_006_Chloroplast_4.tif,Chloroplast/2.1_002_Chloroplast_2.tif,/Users/jason/Desktop/OrganelleClassifyDataset/train/Chloroplast/M8-1_006_Chloroplast_4.tif,/Users/jason/Desktop/OrganelleClassifyDataset/test/Chloroplast/2.1_002_Chloroplast_2.tif,ff41d058c3738355,bf89d06ac3618667,14,True,2
Chloroplast,Chloroplast,Chloroplast/309n_009_Chloroplast_8.tif,Chloroplast/2gill_002_Chloroplast_4.tif,/Users/jason/Desktop/OrganelleClassifyDataset/train/Chloroplast/309n_009_Chloroplast_8.tif,/Users/jason/Desktop/OrganelleClassifyDataset/test/Chloroplast/2gill_002_Chloroplast_4.tif,bfb8905a8f493c46,be1e8058cd499cf6,14,True,1
Mito,Chloroplast,Mito/WT2--23000X--0002_Mito_2.tif,Chloroplast/2gill_005_Chloroplast_3.tif,/Users/jason/Desktop/OrganelleClassifyDataset/train/Mito/WT2--23000X--0002_Mito_2.tif,/Users/jason/Desktop/OrganelleClassifyDataset/test/Chloroplast/2gill_005_Chloroplast_3.tif,bd55504aaa29d567,fd95d07889615547,14,False,1
Mito,Chloroplast,Mito/Q3--11000X--0008_Mito_2.tif,Chloroplast/6gill_013_Chloroplast_1.tif,/Users/jason/Desktop/OrganelleClassifyDataset/train/Mito/Q3--11000X--0008_Mito_2.tif,/Users/jason/Desktop/OrganelleClassifyDataset/test/Chloroplast/6gill_013_Chloroplast_1.tif,ebe084859f9f9498,aae0c5ad5e92969a,14,False,1
Chloroplast,Chloroplast,Chloroplast/zb2_022_Chloroplast_2.tif,Chloroplast/LNNA_004_Chloroplast_5.tif,/Users/jason/Desktop/OrganelleClassifyDataset/train/Chloroplast/zb2_022_Chloroplast_2.tif,/Users/jason/Desktop/OrganelleClassifyDataset/test/Chloroplast/LNNA_004_Chloroplast_5.tif,ffc08587d89cd0b1,fad0d587d68c54a8,14,True,1
Chloroplast,Chloroplast,Chloroplast/M8_014_Chloroplast_1.tif,Chloroplast/M8_014_Chloroplast_2.tif,/Users/jason/Desktop/OrganelleClassifyDataset/train/Chloroplast/M8_014_Chloroplast_1.tif,/Users/jason/Desktop/OrganelleClassifyDataset/test/Chloroplast/M8_014_Chloroplast_2.tif,ea42c50d873d9bb1,ea46d54d960d9d1c,14,True,1
Chloroplast,Chloroplast,Chloroplast/3gill_007_Chloroplast_1.tif,Chloroplast/M9-1_002_Chloroplast_2.tif,/Users/jason/Desktop/OrganelleClassifyDataset/train/Chloroplast/3gill_007_Chloroplast_1.tif,/Users/jason/Desktop/OrganelleClassifyDataset/test/Chloroplast/M9-1_002_Chloroplast_2.tif,ab4ad0ad9b349d32,eb4af44d83189f70,14,True,5
Chloroplast,Chloroplast,Chloroplast/M8_014_Chloroplast_1.tif,Chloroplast/M9-1_002_Chloroplast_2.tif,/Users/jason/Desktop/OrganelleClassifyDataset/train/Chloroplast/M8_014_Chloroplast_1.tif,/Users/jason/Desktop/OrganelleClassifyDataset/test/Chloroplast/M9-1_002_Chloroplast_2.tif,ea42c50d873d9bb1,eb4af44d83189f70,14,True,5
Mito,Chloroplast,Mito/169--68000X--0073_Mito_1.tif,Chloroplast/M9-1_002_Chloroplast_2.tif,/Users/jason/Desktop/OrganelleClassifyDataset/train/Mito/169--68000X--0073_Mito_1.tif,/Users/jason/Desktop/OrganelleClassifyDataset/test/Chloroplast/M9-1_002_Chloroplast_2.tif,fb4bc06d87349e90,eb4af44d83189f70,14,False,5
Mito,Chloroplast,Mito/M_J83--30000X--0044_Mito_1.tif,Chloroplast/M9-1_002_Chloroplast_2.tif,/Users/jason/Desktop/OrganelleClassifyDataset/train/Mito/M_J83--30000X--0044_Mito_1.tif,/Users/jason/Desktop/OrganelleClassifyDataset/test/Chloroplast/M9-1_002_Chloroplast_2.tif,ab68b408971e9e7c,eb4af44d83189f70,14,False,5
