train_class,test_class,train_relative_path,test_relative_path,train_path,test_path,train_hash,test_hash,distance,same_class
Chloroplast,Chloroplast,Chloroplast/1.1_008_Chloroplast_6.tif,Chloroplast/1.1_009_Chloroplast_2.tif,/Users/jason/Desktop/OrganelleClassifyDataset/train/Chloroplast/1.1_008_Chloroplast_6.tif,/Users/jason/Desktop/OrganelleClassifyDataset/test/Chloroplast/1.1_009_Chloroplast_2.tif,f346c41d9b34652d,fb42c41d9b34652d,2,True
Nucleus,Nucleus,Nucleus/kw10-6--13000X--0122_Nucleus_1.tif,Nucleus/kw10-6--6800X--0006_Nucleus_1.tif,/Users/jason/Desktop/OrganelleClassifyDataset/train/Nucleus/kw10-6--13000X--0122_Nucleus_1.tif,/Users/jason/Desktop/OrganelleClassifyDataset/test/Nucleus/kw10-6--6800X--0006_Nucleus_1.tif,81c22eb53d12d97b,81622eb53d12d97b,2,True
Chloroplast,Chloroplast,Chloroplast/6gill_006_Chloroplast_2.tif,Chloroplast/1.1_009_Chloroplast_2.tif,/Users/jason/Desktop/OrganelleClassifyDataset/train/Chloroplast/6gill_006_Chloroplast_2.tif,/Users/jason/Desktop/OrganelleClassifyDataset/test/Chloroplast/1.1_009_Chloroplast_2.tif,fb42e41d9a348bb1,fb42c41d9b34652d,12,True
Chloroplast,Chloroplast,Chloroplast/LNWT_006_Chloroplast_2.tif,Chloroplast/309n_002_Chloroplast_1.tif,/Users/jason/Desktop/OrganelleClassifyDataset/train/Chloroplast/LNWT_006_Chloroplast_2.tif,/Users/jason/Desktop/OrganelleClassifyDataset/test/Chloroplast/309n_002_Chloroplast_1.tif,af42b6ce9823ce38,ae40b5ae9a23cf0e,12,True
Chloroplast,Chloroplast,Chloroplast/cjy-2_002_Chloroplast_3.tif,Chloroplast/cjy-2_012_Chloroplast_4.tif,/Users/jason/Desktop/OrganelleClassifyDataset/train/Chloroplast/cjy-2_002_Chloroplast_3.tif,/Users/jason/Desktop/OrganelleClassifyDataset/test/Chloroplast/cjy-2_012_Chloroplast_4.tif,f1c78fb8b122ae48,f5c78e38a3278629,12,True
Chloroplast,Chloroplast,Chloroplast/LNNA_006_Chloroplast_16.tif,Chloroplast/m-2_004_Chloroplast_5.tif,/Users/jason/Desktop/OrganelleClassifyDataset/train/Chloroplast/LNNA_006_Chloroplast_16.tif,/Users/jason/Desktop/OrganelleClassifyDataset/test/Chloroplast/m-2_004_Chloroplast_5.tif,eb1585f09aea89cc,a8b597d0dacac9c8,12,True
Golgi,Golgi,Golgi/70-WT--18500X--0081_Golgi_1.tif,Golgi/70-WT--18500X--0082_Golgi_1.tif,/Users/jason/Desktop/OrganelleClassifyDataset/train/Golgi/70-WT--18500X--0081_Golgi_1.tif,/Users/jason/Desktop/OrganelleClassifyDataset/test/Golgi/70-WT--18500X--0082_Golgi_1.tif,ef0fc1582bcfc064,ff15c25a2b8fc1a0,12,True
Golgi,Golgi,Golgi/48--9300X--0005_Golgi_1.tif,Golgi/D3--23000X--0016_Golgi_1.tif,/Users/jason/Desktop/OrganelleClassifyDataset/train/Golgi/48--9300X--0005_Golgi_1.tif,/Users/jason/Desktop/OrganelleClassifyDataset/test/Golgi/D3--23000X--0016_Golgi_1.tif,f0a7d699892c6393,f8a69799cc24a395,12,True
Mito,Nucleus,Mito/WT2--23000X--0009_Mito_2.tif,Nucleus/RKO-WT-3--6800X--0005_Nucleus_1.tif,/Users/jason/Desktop/OrganelleClassifyDataset/train/Mito/WT2--23000X--0009_Mito_2.tif,/Users/jason/Desktop/OrganelleClassifyDataset/test/Nucleus/RKO-WT-3--6800X--0005_Nucleus_1.tif,fffbfefc10800009,fffffdf282080001,12,False
Nucleus,Nucleus,Nucleus/kw10-4--6800X--0021_Nucleus_1.tif,Nucleus/kw10-4--6800X--0027_Nucleus_1.tif,/Users/jason/Desktop/OrganelleClassifyDataset/train/Nucleus/kw10-4--6800X--0021_Nucleus_1.tif,/Users/jason/Desktop/OrganelleClassifyDataset/test/Nucleus/kw10-4--6800X--0027_Nucleus_1.tif,9bc53a972b319d30,9ac52b16ae33cd31,12,True
Vesicles,Autosome,Vesicles/#56--23000X--0081_Vesicles_1.tif,Autosome/1--30000X--0009_Autosome_1.tif,/Users/jason/Desktop/OrganelleClassifyDataset/train/Vesicles/#56--23000X--0081_Vesicles_1.tif,/Users/jason/Desktop/OrganelleClassifyDataset/test/Autosome/1--30000X--0009_Autosome_1.tif,c3c674e1c2d6cc99,e3867c3983c4ced1,14,False
Chloroplast,Autosome,Chloroplast/4gill_014_Chloroplast_1.tif,Autosome/10-N--23000X--0059_Autosome_3.tif,/Users/jason/Desktop/OrganelleClassifyDataset/train/Chloroplast/4gill_014_Chloroplast_1.tif,/Users/jason/Desktop/OrganelleClassifyDataset/test/Autosome/10-N--23000X--0059_Autosome_3.tif,b86ac39eac19f330,b06e81962cd373b9,14,False
Chloroplast,Autosome,Chloroplast/2gill_009_Chloroplast_2.tif,Autosome/10-SI--23000X--0019_Autosome_1.tif,/Users/jason/Desktop/OrganelleClassifyDataset/train/Chloroplast/2gill_009_Chloroplast_2.tif,/Users/jason/Desktop/OrganelleClassifyDataset/test/Autosome/10-SI--23000X--0019_Autosome_1.tif,fb408daf9a35d032,fac0c79b9a2d1436,14,False
Chloroplast,Autosome,Chloroplast/zb1_025_Chloroplast_1.tif,Autosome/LC1-3--23000X--0012_Autosome_1.tif,/Users/jason/Desktop/OrganelleClassifyDataset/train/Chloroplast/zb1_025_Chloroplast_1.tif,/Users/jason/Desktop/OrganelleClassifyDataset/test/Autosome/LC1-3--23000X--0012_Autosome_1.tif,fa35c6f090c29bcc,fa2d84d1d246998f,14,False
Mito,Autosome,Mito/WT+LA--30000X--0022_Mito_1.tif,Autosome/ZYZ--49000X--0002_Autosome_4.tif,/Users/jason/Desktop/OrganelleClassifyDataset/train/Mito/WT+LA--30000X--0022_Mito_1.tif,/Users/jason/Desktop/OrganelleClassifyDataset/test/Autosome/ZYZ--49000X--0002_Autosome_4.tif,b808946bd3accead,a040d06bdb3c4dfd,14,False
